Bill of Material,,,,,,,,,,,,,,,,
Name of Drawing,Type of Line,Type of Pole,Type of Structure,Drawing No,No of Sets required,S.No,ERE Code,Description,Section,Length (mm),Qty/set (Nos),"Wt/Mtr
(Kg)",Total Wt in KG,Required Qty,Required Wt,
11kV Line formation on SP on 8M PSC Pole ,11kV,8M,SP,SSEL/8SP-001,1,1,SP-11,V-CROSS ARM,75x40x6,1510,1,7.14,10.781,1,10.781,
11kV Line formation on SP on 8M PSC Pole ,11kV,8M,SP,SSEL/8SP-001,1,2,SP-11,Welded Washer for V Cross arm,50x6,50,4,2.36,0.472,4,0.472,
11kV Line formation on SP on 8M PSC Pole ,11kV,8M,SP,SSEL/8SP-001,1,3,SP-12,V-CROSS ARM BACK CLAMP,50x8,450,1,3.14,1.413,1,1.413,
11kV Line formation on SP on 8M PSC Pole ,11kV,8M,SP,SSEL/8SP-001,1,4,SP-13,F BRACKET,50x8,505,1,3.14,1.586,1,1.586,
11kV Line formation on SP on 8M PSC Pole ,11kV,8M,SP,SSEL/8SP-001,1,5,STAY-1A,STAY CLAMP FOR ANGULAR LOCATION,50x8,358,2,3.14,2.248,2,2.248,
11kV Line formation on SP on 8M PSC Pole ,11kV,8M,SP,SSEL/8SP-001,1,6,SP-13A,DANGER BOARD BACK CLAMP,25x3,600,1,0.599,0.359,1,0.359,
11kV Line formation on Rail Pole on 8M PSC Pole ,11kV,Rail Pole,SP,SSEL-NBPDCL-CP-001,1,1,CP01,Pole Top Bracket,50X8,487,1,3.14,1.529,1,1.529,
11kV Line formation on Rail Pole on 8M PSC Pole ,11kV,Rail Pole,SP,SSEL-NBPDCL-CP-001,1,2,CP02,Horizontal Cross Arm,75x40x6,1170,2,5.7,13.338,2,13.338,
11kV Line formation on Rail Pole on 8M PSC Pole ,11kV,Rail Pole,SP,SSEL-NBPDCL-CP-001,1,3,CP03,Stay Set Clamp-A,50X8,376,2,3.14,2.361,2,2.361,
11kV Line formation on Rail Pole on 8M PSC Pole ,11kV,Rail Pole,SP,SSEL-NBPDCL-CP-001,1,4,CP04,Stay Set Clamp-B,50X8,372,2,3.14,2.336,2,2.336,
11kV Line formation on Rail Pole on 8M PSC Pole ,11kV,Rail Pole,SP,SSEL-NBPDCL-CP-001,1,5,CP05,Clamp for Disc Insulator,50X8,499,2,3.14,3.134,2,3.134,
11kV Line formation on Rail Pole on 8M PSC Pole ,11kV,Rail Pole,SP,SSEL-NBPDCL-CP-001,1,6,CP06,Fish Plate,50X8,214,4,3.14,2.688,4,2.688,
11kV Line formation on DP on 8M PSC Pole ,11kV,8M,DP,SSEL/8DP-001,1,1,DP-1,TOP CHANNEL,100x50x6,2200,2,9.56,42.064,2,42.064,
11kV Line formation on DP on 8M PSC Pole ,11kV,8M,DP,SSEL/8DP-001,1,2,DP-2,BELTING ANGLE,50x50x6,1780,2,4.5,16.02,2,16.020,
11kV Line formation on DP on 8M PSC Pole ,11kV,8M,DP,SSEL/8DP-001,1,3,DP-3,BRACING ANGLE,50x50x6,2382,2,4.5,21.438,2,21.438,
11kV Line formation on DP on 8M PSC Pole ,11kV,8M,DP,SSEL/8DP-001,1,4,DP-4,FISH PLATE,50x8,300,6,3.14,5.652,6,5.652,
11kV Line formation on DP on 8M PSC Pole ,11kV,8M,DP,SSEL/8DP-001,1,5,DP-5,BELTING ANGLE CLAMP(TOP),50x8,527,2,3.14,3.31,2,3.310,
11kV Line formation on DP on 8M PSC Pole ,11kV,8M,DP,SSEL/8DP-001,1,6,DP-6,BELTING ANGLE CLAMP(BOTTOM),50x8,599,2,3.14,3.762,2,3.762,
11kV Line formation on DP on 8M PSC Pole ,11kV,8M,DP,SSEL/8DP-001,1,7,STAY-1C,Stay Clamp,50x8,344,4,3.14,4.321,4,4.321,
11kV Line formation on DP on 8M PSC Pole ,11kV,8M,DP,SSEL/8DP-001,1,8,STAY-1D,Stay Clamp Type D,50x8,343,2,3.14,2.154,2,2.154,
11kV Line Tapping from Existing 8M PSC Pole on SP ,11kV,8M,TAP,SSEL/8SPT-001,1,1,SPT-21,HORIZONTAL CROSS ARM,100x50,1500,1,9.56,14.34,1,14.340,
11kV Line Tapping from Existing 8M PSC Pole on SP ,11kV,8M,TAP,SSEL/8SPT-001,1,2,SPT-22,HORIZONTAL CROSS ARM BACK CLAMP,50x8,532,1,3.14,1.67,1,1.670,
11kV Line Tapping from Existing 8M PSC Pole on SP ,11kV,8M,TAP,SSEL/8SPT-001,1,3,STAY-1A,STAY CLAMP FOR ANGULAR LOCATION,50x8,358,2,3.14,2.248,2,2.248,
AB SWITCH ARRANGEMENT,11kV,8M,ABS,SSEL/NBPDCL-DA-001,1,1,DA05,BELTING ANGLE,50x50x6,2700,2,4.5,24.3,2,24.300,
AB SWITCH ARRANGEMENT,11kV,8M,ABS,SSEL/NBPDCL-DA-001,1,2,DA06,BRACING ANGLE,50x50x6,2806,2,4.5,25.254,2,25.254,
AB SWITCH ARRANGEMENT,11kV,8M,ABS,SSEL/NBPDCL-DA-001,1,3,DA01,TOP CHANNEL,100x50X6,2800,2,7.9,44.24,2,44.240,
AB SWITCH ARRANGEMENT,11kV,8M,ABS,SSEL/NBPDCL-DA-001,1,4,DA02,A.B.SWITCH MOUNTING CHANNEL,75x40,2700,2,5.7,30.78,2,30.780,
AB SWITCH ARRANGEMENT,11kV,8M,ABS,SSEL/NBPDCL-DA-001,1,5,DA10,CHANNEL SUPPORT FOR OPERATING HANDLE,75x40,448,1,5.7,2.554,1,2.554,
AB SWITCH ARRANGEMENT,11kV,8M,ABS,SSEL/NBPDCL-DA-001,1,6,DA09,CHANNEL SUPPORT FOR OPERATING PIPE,75x40,380,2,5.7,4.332,2,4.332,
AB SWITCH ARRANGEMENT,11kV,8M,ABS,SSEL/NBPDCL-DA-001,1,7,DA07, BELTING ANGLE CLAMP (TOP),50x8,566,2,3.14,3.554,2,3.554,
AB SWITCH ARRANGEMENT,11kV,8M,ABS,SSEL/NBPDCL-DA-001,1,8,DA08,BELTING ANGLE CLAMP(BOTTOM),50x8,636,2,3.14,3.994,2,3.994,
AB SWITCH ARRANGEMENT,11kV,8M,ABS,SSEL/NBPDCL-DA-001,1,9,DA04,STAY SET CLAMP,50x8,354,4,3.14,4.446,4,4.446,
AB SWITCH ARRANGEMENT,11kV,8M,ABS,SSEL/NBPDCL-DA-001,1,10,DA13,CLAMP FOR OPERATING HANDLE,50x8,686,1,3.14,2.154,1,2.154,
AB SWITCH ARRANGEMENT,11kV,8M,ABS,SSEL/NBPDCL-DA-001,1,11,DA11,TOP CLAMP FOR A.B.SWITCH OPERATING PIPE,50x8,544,1,3.14,1.708,1,1.708,
AB SWITCH ARRANGEMENT,11kV,8M,ABS,SSEL/NBPDCL-DA-001,1,12,DA12,BOTTOM CLAMP FOR AB SWITCH  OPERATING PIPE,50x8,624,1,3.14,1.959,1,1.959,
AB SWITCH ARRANGEMENT,11kV,8M,ABS,SSEL/NBPDCL-DA-001,1,13,DA03,CLAMP FOR AB SWITCH MOUNTING CHANNEL,50x8,540,4,3.14,6.782,4,6.782,
11kV Line Guarding Arrangment on 8M PSC Pole on SP ,11kV,8M,Guarding,SSEL/GRD-001,1,1,GRD-238A,Guarding Cross Arm,75x40,2210,2,7.14,31.559,2,31.559,
11kV Line Guarding Arrangment on 8M PSC Pole on SP ,11kV,8M,Guarding,SSEL/GRD-001,1,2,GRD -239A ,Guarding Cross Arm Back Clamp,50x8,350,2,3.14,2.198,2,2.198,
11kV Line Guarding Arrangment on 8M PSC Pole on SP ,11kV,8M,Guarding,SSEL/GRD-001,1,3,GRD - 240,EYE Hook,16Dia,240,8,1.58,3.034,8,3.034,
11KV Line Extension Channel Guarding,11kV,8M,Extn Guarding,SSEL-NBPDCL-PE-001,1,1,PE03,PDE Extension Supportig Channel,100x50x6,3000,1,9.56,28.68,1,28.680,
11KV Line Extension Channel Guarding,11kV,8M,Extn Guarding,SSEL-NBPDCL-PE-001,1,2,PE03A,Welded Flat,50x8,88,2,3.14,0.553,2,0.553,
11KV Line Extension Channel Guarding,11kV,8M,Extn Guarding,SSEL-NBPDCL-PE-001,1,3,PE03B,Welded Flat,50x8,80,2,3.14,0.502,2,0.502,
11KV Line Extension Channel Guarding,11kV,8M,Extn Guarding,SSEL-NBPDCL-PE-001,1,4,PE03C,Welded Flat,50x8,160,1,3.14,0.502,1,0.502,
11KV Line Extension Channel Guarding,11kV,8M,Extn Guarding,SSEL-NBPDCL-PE-001,1,5,PE03D,Welded Flat,50x8,308,2,3.14,1.934,2,1.934,
11KV Line Extension Channel Guarding,11kV,8M,Extn Guarding,SSEL-NBPDCL-PE-001,1,6,PE04,Back Clmap for Pole Extension Channel,50x8,448,2,3.14,2.813,2,2.813,
11KV Line Extension Channel Guarding,11kV,8M,Extn Guarding,SSEL-NBPDCL-PE-001,1,7,PE06,Guarding Cross Arm,50x50x6,2210,1,4.5,9.945,1,9.945,
11KV Line Extension Channel Guarding,11kV,8M,Extn Guarding,SSEL-NBPDCL-PE-001,1,8,PE07,Back Clmap for Guarding Cross Arm,50x8,336,1,3.14,1.055,1,1.055,
11/0.433kV 63kV DTR arrangment on DP 8M with LT ,DTR,8M,DP,"SSEL/NBPDCL-
DTR-001",1,1,046R,Top Channel,ISLC 100X50,2800,2,7.9,44.24,2,44.240,
11/0.433kV 63kV DTR arrangment on DP 8M with LT ,DTR,8M,DP,"SSEL/NBPDCL-
DTR-001",1,2,047R,AB Switch Mounting Channel,ISLC 75X40,2700,2,5.7,30.78,2,30.780,
11/0.433kV 63kV DTR arrangment on DP 8M with LT ,DTR,8M,DP,"SSEL/NBPDCL-
DTR-001",1,3,048R,"Channel support for operating
Handle",ISLC 75X40,448,1,5.7,2.554,1,2.554,
11/0.433kV 63kV DTR arrangment on DP 8M with LT ,DTR,8M,DP,"SSEL/NBPDCL-
DTR-001",1,4,049R,"Channel support for operating
Pipe",ISLC 75X40,380,2,5.7,4.332,2,4.332,
11/0.433kV 63kV DTR arrangment on DP 8M with LT ,DTR,8M,DP,"SSEL/NBPDCL-
DTR-001",1,5,050R,Transformer Belting Angle,ISA 50X50X6,2800,2,4.5,25.2,2,25.200,
11/0.433kV 63kV DTR arrangment on DP 8M with LT ,DTR,8M,DP,"SSEL/NBPDCL-
DTR-001",1,6,051R,Transformer side Belting Angle,ISA 50X50X6,500,2,4.5,4.5,2,4.500,
11/0.433kV 63kV DTR arrangment on DP 8M with LT ,DTR,8M,DP,"SSEL/NBPDCL-
DTR-001",1,7,052R,Transformer base channel,ISLC 100X50,2800,2,7.9,44.24,2,44.240,
11/0.433kV 63kV DTR arrangment on DP 8M with LT ,DTR,8M,DP,"SSEL/NBPDCL-
DTR-001",1,8,053R,HG Fuse mounting Channel,ISLC 75X40,2700,2,5.7,30.78,2,30.780,
11/0.433kV 63kV DTR arrangment on DP 8M with LT ,DTR,8M,DP,"SSEL/NBPDCL-
DTR-001",1,9,054R,Transformer side base channel,ISLC 75X40,475,4,5.7,10.83,4,10.830,
11/0.433kV 63kV DTR arrangment on DP 8M with LT ,DTR,8M,DP,"SSEL/NBPDCL-
DTR-001",1,10,010R,Clamp A for stay set,F50X8,358,4,3.14,4.496,4,4.496,
11/0.433kV 63kV DTR arrangment on DP 8M with LT ,DTR,8M,DP,"SSEL/NBPDCL-
DTR-001",1,11,056R,Dummy Clamp for AB Switch,F50X8,371,4,3.14,4.66,4,4.660,
11/0.433kV 63kV DTR arrangment on DP 8M with LT ,DTR,8M,DP,"SSEL/NBPDCL-
DTR-001",1,12,057R,Dummy Clamp for HG Fuse,F50X8,399,4,3.14,5.011,4,5.011,
11/0.433kV 63kV DTR arrangment on DP 8M with LT ,DTR,8M,DP,"SSEL/NBPDCL-
DTR-001",1,13,058R,"Dummy clamp for Transformer
mounting base channel",F50X8,431,4,3.14,5.413,4,5.413,
11/0.433kV 63kV DTR arrangment on DP 8M with LT ,DTR,8M,DP,"SSEL/NBPDCL-
DTR-001",1,14,059R,Clamp  for operating Handle,F50X8,710,1,3.14,2.229,1,2.229,
11/0.433kV 63kV DTR arrangment on DP 8M with LT ,DTR,8M,DP,"SSEL/NBPDCL-
DTR-001",1,15,060R,Top clamp for AB switch operating Pipe,F50X8,598,1,3.14,1.878,1,1.878,
11/0.433kV 63kV DTR arrangment on DP 8M with LT ,DTR,8M,DP,"SSEL/NBPDCL-
DTR-001",1,16,061R,Bottom  clamp for AB switch operating Pipe,F50X8,688,1,3.14,2.16,1,2.160,
11/0.433kV 63kV DTR arrangment on DP 8M with LT ,DTR,8M,DP,"SSEL/NBPDCL-
DTR-001",1,17,062R,Top clamp for 3PH. LTDB,F50X8,700,1,3.14,2.198,1,2.198,
11/0.433kV 63kV DTR arrangment on DP 8M with LT ,DTR,8M,DP,"SSEL/NBPDCL-
DTR-001",1,18,063R,Bottom clamp for 3PH. LTDB,F50X8,701,1,3.14,2.201,1,2.201,
11/0.433kV 63kV DTR arrangment on DP 8M with LT ,DTR,8M,DP,"SSEL/NBPDCL-
DTR-001",1,19,064R,"Clamp for AB Switch Mounting
Channel",F50X8,560,4,3.14,7.034,4,7.034,
11/0.433kV 63kV DTR arrangment on DP 8M with LT ,DTR,8M,DP,"SSEL/NBPDCL-
DTR-001",1,20,065R,"Clamp for Transformer side 
belting angle",F50X8,537,2,3.14,3.372,2,3.372,
11/0.433kV 63kV DTR arrangment on DP 8M with LT ,DTR,8M,DP,"SSEL/NBPDCL-
DTR-001",1,21,066R,Top clamp C for AB Cable,F50X8,470,2,3.14,2.952,2,2.952,
11/0.433kV 63kV DTR arrangment on DP 8M with LT ,DTR,8M,DP,"SSEL/NBPDCL-
DTR-001",1,22,067R,Bottom  clamp  D for AB Cable,F50X8,496,2,3.14,3.115,2,3.115,
11/0.433kV 63kV DTR arrangment on DP 8M with LT ,DTR,8M,DP,"SSEL/NBPDCL-
DTR-001",1,23,068R,LTDB Box fixing Flat,F50X8,1025,2,3.14,6.437,2,6.437,
11/0.433kV 63kV DTR arrangment on DP 8M with LT ,DTR,8M,DP,"SSEL/NBPDCL-
DTR-001",1,24,055R,Clamp for AB Cable eye hook,F50X8,452,2,3.14,2.839,2,2.839,
11/0.433kV 63kV DTR arrangment on DP 8M with LT ,DTR,8M,DP,"SSEL/NBPDCL-
DTR-001",1,25,069R,HG Fuse  fixing flat,F50X8,289,3,3.14,2.722,3,2.722,
LT Line Formation on SP on 8M PSC Pole (In Line Arrangment),LT,8M,SP,"SSEL/8SP(LT)-
001A",1,1,STAY-1B,Stay Clamp Type C,F50X8,351,2,3.14,2.204,2,2.204,
LT Line Formation on DP on 8M PSC Pole (In Line Arrangment),LT,8M,DP,SSEL/8DP-001,1,1,STAY-1D,Stay Clamp Type D,F50X8,343,2,3.14,2.154,2,2.154,
